employee_id,name,department,team,seniority_level
1,Employee_1,Engineering,Backend,Junior
2,Employee_2,Engineering,DevOps,Senior
3,Employee_3,Engineering,Frontend,Senior
4,Employee_4,Engineering,Backend,Junior
5,Employee_5,Engineering,QA,Junior
6,Employee_6,Engineering,Backend,Junior
7,Employee_7,Engineering,Frontend,Senior
8,Employee_8,Engineering,Backend,Senior
9,Employee_9,Engineering,QA,Senior
10,Employee_10,Engineering,QA,Lead
11,Employee_11,Engineering,Backend,Senior
12,Employee_12,Engineering,QA,Lead
13,Employee_13,Engineering,DevOps,Senior
14,Employee_14,Engineering,Frontend,Lead
15,Employee_15,Engineering,Backend,Junior
16,Employee_16,Engineering,QA,Junior
17,Employee_17,Engineering,DevOps,Lead
18,Employee_18,Engineering,DevOps,Junior
19,Employee_19,Engineering,QA,Junior
20,Employee_20,Engineering,QA,Junior
21,Employee_21,Engineering,DevOps,Lead
22,Employee_22,Sales,Partnerships,Senior
23,Employee_23,Sales,Partnerships,Junior
24,Employee_24,Sales,Enterprise,Senior
25,Employee_25,Sales,SMB,Junior
26,Employee_26,Sales,Enterprise,Junior
27,Employee_27,Sales,SMB,Lead
28,Employee_28,Sales,SMB,Lead
29,Employee_29,Sales,Enterprise,Lead
30,Employee_30,Sales,SMB,Senior
31,Employee_31,Sales,Partnerships,Lead
32,Employee_32,Sales,Partnerships,Junior
33,Employee_33,Sales,Partnerships,Senior
34,Employee_34,Sales,Partnerships,Senior
35,Employee_35,Sales,Enterprise,Manager
36,Employee_36,Sales,SMB,Lead
37,Employee_37,Sales,Partnerships,Senior
38,Employee_38,Sales,Partnerships,Lead
39,Employee_39,Sales,Enterprise,Senior
40,Employee_40,Sales,Enterprise,Lead
41,Employee_41,Sales,SMB,Lead
42,Employee_42,Sales,Enterprise,Senior
43,Employee_43,Sales,Partnerships,Lead
44,Employee_44,Sales,Enterprise,Manager
45,Employee_45,Sales,SMB,Manager
46,Employee_46,Sales,Enterprise,Lead
47,Employee_47,Sales,Enterprise,Senior
48,Employee_48,Sales,Partnerships,Lead
49,Employee_49,Sales,Partnerships,Manager
50,Employee_50,Sales,Partnerships,Manager
51,Employee_51,Sales,SMB,Senior
52,Employee_52,Sales,Enterprise,Manager
53,Employee_53,Sales,Enterprise,Junior
54,Employee_54,Sales,Enterprise,Senior
55,Employee_55,Sales,Partnerships,Senior
56,Employee_56,Marketing,Analytics,Manager
57,Employee_57,Marketing,Analytics,Junior
58,Employee_58,Marketing,Campaigns,Manager
59,Employee_59,Marketing,Analytics,Manager
60,Employee_60,Marketing,Analytics,Lead
61,Employee_61,Marketing,Analytics,Junior
62,Employee_62,Marketing,Analytics,Junior
63,Employee_63,Marketing,Analytics,Lead
64,Employee_64,Marketing,Analytics,Lead
65,Employee_65,Marketing,Content,Lead
66,Employee_66,Marketing,Campaigns,Senior
67,Employee_67,Marketing,Campaigns,Junior
68,Employee_68,Marketing,Analytics,Lead
69,Employee_69,Marketing,Analytics,Senior
70,Employee_70,Marketing,Analytics,Junior
71,Employee_71,Marketing,Analytics,Lead
72,Employee_72,Marketing,Analytics,Senior
73,Employee_73,Marketing,Content,Lead
74,Employee_74,Marketing,Content,Junior
75,Employee_75,Marketing,Analytics,Lead
76,Employee_76,Marketing,Campaigns,Junior
77,Employee_77,Marketing,Content,Lead
78,Employee_78,Marketing,Campaigns,Senior
79,Employee_79,Marketing,Content,Senior
80,Employee_80,Marketing,Analytics,Junior
81,Employee_81,Marketing,Content,Manager
82,Employee_82,Marketing,Content,Senior
83,Employee_83,Marketing,Content,Manager
84,Employee_84,Marketing,Analytics,Senior
85,Employee_85,Finance,Planning,Manager
86,Employee_86,Finance,Accounting,Senior
87,Employee_87,Finance,Treasury,Lead
88,Employee_88,Finance,Planning,Lead
89,Employee_89,Finance,Planning,Manager
90,Employee_90,Finance,Accounting,Senior
91,Employee_91,Finance,Accounting,Junior
92,Employee_92,Finance,Planning,Junior
93,Employee_93,Finance,Treasury,Senior
94,Employee_94,Finance,Treasury,Senior
95,Employee_95,Finance,Accounting,Junior
96,Employee_96,Finance,Treasury,Junior
97,Employee_97,Finance,Accounting,Junior
98,Employee_98,Finance,Accounting,Lead
99,Employee_99,Finance,Accounting,Senior
100,Employee_100,Finance,Planning,Manager
101,Employee_101,Finance,Accounting,Senior
102,Employee_102,Finance,Treasury,Manager
103,Employee_103,Finance,Accounting,Manager
104,Employee_104,Finance,Planning,Senior
105,Employee_105,Finance,Accounting,Junior
106,Employee_106,Finance,Treasury,Manager
107,Employee_107,Finance,Planning,Manager
108,Employee_108,Finance,Planning,Manager
109,Employee_109,Finance,Treasury,Junior
110,Employee_110,HR,Development,Junior
111,Employee_111,HR,Recruiting,Manager
112,Employee_112,HR,Development,Lead
113,Employee_113,HR,Recruiting,Senior
114,Employee_114,HR,Recruiting,Senior
115,Employee_115,HR,Development,Manager
116,Employee_116,HR,Recruiting,Manager
117,Employee_117,HR,Recruiting,Lead
118,Employee_118,HR,Operations,Senior
119,Employee_119,HR,Recruiting,Manager
