employee_id,employee_name,department,team,total_communications,intra_dept_communications,cross_dept_communications,dept_diversity_contacts,avg_sentiment_score,collaboration_breadth,silo_propensity_score
1,Employee_1,Engineering,Backend,59,39,20,7,0,0.3389830508474576,66.10169491525424
2,Employee_2,Engineering,DevOps,60,45,15,6,0,0.25,75.0
3,Employee_3,Engineering,Frontend,66,41,25,7,1,0.3787878787878788,62.121212121212125
4,Employee_4,Engineering,Backend,51,33,18,7,1,0.35294117647058826,64.70588235294117
5,Employee_5,Engineering,QA,70,57,13,7,0,0.18571428571428572,81.42857142857143
6,Employee_6,Engineering,Backend,60,46,14,7,0,0.23333333333333334,76.66666666666667
7,Employee_7,Engineering,Frontend,55,44,11,6,0,0.2,80.0
8,Employee_8,Engineering,Backend,66,53,13,6,1,0.19696969696969696,80.3030303030303
9,Employee_9,Engineering,QA,52,42,10,7,0,0.19230769230769232,80.76923076923077
10,Employee_10,Engineering,QA,73,57,16,7,0,0.2191780821917808,78.08219178082192
11,Employee_11,Engineering,Backend,66,45,21,7,0,0.3181818181818182,68.18181818181817
12,Employee_12,Engineering,QA,76,60,16,6,1,0.21052631578947367,78.94736842105263
13,Employee_13,Engineering,DevOps,75,60,15,7,1,0.2,80.0
14,Employee_14,Engineering,Frontend,64,44,20,7,1,0.3125,68.75
15,Employee_15,Engineering,Backend,49,31,18,7,1,0.3673469387755102,63.26530612244898
16,Employee_16,Engineering,QA,58,43,15,7,0,0.25862068965517243,74.13793103448276
17,Employee_17,Engineering,DevOps,57,37,20,7,1,0.3508771929824561,64.91228070175438
18,Employee_18,Engineering,DevOps,72,54,18,7,1,0.25,75.0
19,Employee_19,Engineering,QA,64,53,11,7,0,0.171875,82.8125
20,Employee_20,Engineering,QA,61,43,18,7,1,0.29508196721311475,70.49180327868852
21,Employee_21,Engineering,DevOps,72,60,12,6,1,0.16666666666666666,83.33333333333334
22,Employee_22,Sales,Partnerships,47,35,12,6,1,0.2553191489361702,74.46808510638297
23,Employee_23,Sales,Partnerships,52,35,17,7,0,0.3269230769230769,67.3076923076923
24,Employee_24,Sales,Enterprise,56,45,11,6,1,0.19642857142857142,80.35714285714286
